"","year","treat","amended_bool","amendment_C_kg_ha"
"473",1987,8,TRUE,3000
"474",1987,9,TRUE,3000
"475",1987,10,TRUE,3000
"476",1987,11,TRUE,3000
"477",1987,12,TRUE,3000
"478",1987,13,TRUE,3000
"479",1987,14,TRUE,3000
"480",1987,15,TRUE,3000
"481",1988,1,FALSE,NA
"482",1988,2,FALSE,NA
"483",1988,3,FALSE,NA
"484",1988,4,FALSE,NA
"485",1988,5,FALSE,NA
"486",1988,6,FALSE,NA
"487",1988,7,FALSE,NA
"488",1988,8,FALSE,NA
"489",1988,9,FALSE,NA
"490",1988,10,FALSE,NA
"491",1988,11,FALSE,NA
"492",1988,12,FALSE,NA
"493",1988,13,FALSE,NA
"494",1988,14,FALSE,NA
"495",1988,15,FALSE,NA
"496",1989,1,FALSE,NA
"497",1989,2,FALSE,NA
"498",1989,3,FALSE,NA
"499",1989,4,FALSE,NA
"500",1989,5,TRUE,3000
"501",1989,6,TRUE,3000
"502",1989,7,TRUE,3000
"503",1989,8,TRUE,3000
"504",1989,9,TRUE,3000
"505",1989,10,TRUE,3000
"506",1989,11,TRUE,3000
"507",1989,12,TRUE,3000
"508",1989,13,TRUE,3000
"509",1989,14,TRUE,3000
"510",1989,15,TRUE,3000
"511",1990,1,FALSE,NA
"512",1990,2,FALSE,NA
"513",1990,3,FALSE,NA
"514",1990,4,FALSE,NA
"515",1990,5,FALSE,NA
"516",1990,6,FALSE,NA
"517",1990,7,FALSE,NA
"518",1990,8,FALSE,NA
"519",1990,9,FALSE,NA
"520",1990,10,FALSE,NA
"521",1990,11,FALSE,NA
"522",1990,12,FALSE,NA
"523",1990,13,FALSE,NA
"524",1990,14,FALSE,NA
"525",1990,15,FALSE,NA
"526",1991,1,FALSE,NA
"527",1991,2,FALSE,NA
"528",1991,3,FALSE,NA
"529",1991,4,FALSE,NA
"530",1991,5,TRUE,3000
"531",1991,6,TRUE,3000
"532",1991,7,TRUE,3000
"533",1991,8,TRUE,3000
"534",1991,9,TRUE,3000
"535",1991,10,TRUE,3000
"536",1991,11,TRUE,3000
"537",1991,12,TRUE,3000
"538",1991,13,TRUE,3000
"539",1991,14,TRUE,3000
"540",1991,15,TRUE,3000
"541",1992,1,FALSE,NA
"542",1992,2,FALSE,NA
"543",1992,3,FALSE,NA
"544",1992,4,FALSE,NA
